parsed,fishbase
Apristurus laurussoni,Apristurus laurussonii
Apristurus longicephalus,Apristurus longicephalus
Apristurus macrorhynchus,Apristurus macrorhynchus
Apristurus manis,Apristurus manis
Apristurus platyrhynchus,Apristurus platyrhynchus
Apristurus profundorum,Apristurus profundorum
Apristurus,NA
Aptocyclus ventricosus,Aptocyclus ventricosus
Aptychotrema rostrata,Aptychotrema rostrata
Aptychotrema timorensis,Aptychotrema timorensis
Aptychotrema vincentiana,Aptychotrema vincentiana
Aracana aurita,Aracana aurita
Aracana ornata,Aracana ornata
Archamia bleekeri,Archamia bleekeri
Archamia fucata,Taeniamia fucata
Archamia,NA
Archamia,NA
Archamia zoosterophora,NA
Archamia zosterophera,NA
Archosargus probatocephalus,Archosargus probatocephalus
Archosargus rhomboidalis,Archosargus rhomboidalis
Arctogadus glacialis,Arctogadus glacialis
Arctozenus risso,Arctozenus risso
Arctozenus rissoi,Arctozenus risso
Arenigobius frenatus,Arenigobius frenatus
Argentina australiae,Argentina australiae
Argentina elongata,Argentina elongata
Argentina kagoshimae,Argentina kagoshimae
Argentina silus,Argentina silus
Argentina sphyraena,Argentina sphyraena
Argentina striata,Argentina striata
Argentinidae,NA
Argyripnus iridescens,Argyripnus iridescens
Argyropelecus,NA
Argyropelecus aculeatus,Argyropelecus aculeatus
Argyropelecus affinis,Argyropelecus affinis
Argyropelecus gigas,Argyropelecus gigas
Argyropelecus hemigymnus,Argyropelecus hemigymnus
Argyropelecus lychnus,Argyropelecus lychnus
Argyropelecus olfersi,Argyropelecus olfersii
Argyropelecus sladeni,Argyropelecus sladeni
Argyropelecus,NA
Argyrops bleekeri,Argyrops bleekeri
Argyrops spinifer,Argyrops spinifer
Argyrosomus hololepidotus,Argyrosomus hololepidotus
Argyrosomus japonicus,Argyrosomus japonicus
Argyrosomus regius,Argyrosomus regius
Arhynchobatis asperrimus,Arhynchobatis asperrimus
Ariomma,NA
Ariomma bondi,Ariomma bondi
