parsed,lcvp
Ardisia guianensis,Ardisia guianensis (Aubl.) Mez
Ardisia kunstleri,Ardisia kunstleri King & Gamble
Ardisia lanceolata,Ardisia lanceolata C.F.Gaertn.
Ardisia pachysandra,Ardisia pachysandra (Wall. ex Roxb.) Mez
Ardisia ridleyi,Ardisia ridleyi King & Gamble
Ardisia standleyana,Ardisia copeyana Standl.
Arecaceae,
Arenaria serpyllifolia,Arenaria serpyllifolia L.
Argemone polyanthemos,Argemone polyanthemos (Fedde) G.B.Ownbey
Argyrodendron actinophyllum,Heritiera actinophylla (F.M.Bailey) Kosterm.
Argyrodendron peralatum,Heritiera peralata (F.M.Bailey) Kosterm.
Argyrodendron polyandrum,Heritiera polyandra (L.S.Sm.) Kosterm.
Argyrodendron trifoliolatum,Heritiera trifoliolata (F.Muell.) Kosterm.
Argyrolobium filiforme,Argyrolobium filiforme (Thunb.) Eckl. & Zeyh.
Argyrolobium zanonii,Argyrolobium zanonii (Turra) P.W.Ball
Aristea africana,Aristea africana (L.) Hoffmanns.
Aristea capitata,Aristea capitata (L.) KerGawl.
Aristea glauca,Aristea glauca Klatt
Aristida,
Aristida adscensionis,Aristida adscensionis L.
Aristida divaricata,Aristida divaricata Kunth ex Willd.
Aristida filifolia,Aristida filifolia (Arechav.) Herter
Aristida flaccida,Aristida flaccida Trin. & Rupr.
Aristida jubata,Aristida jubata (Arechav.) Herter
Aristida laevis,Aristida laevis (Nees) Kunth
Aristida longiseta,Aristida longiseta Steud.
Aristida megapotamica,Aristida megapotamica Spreng.
Aristida oligantha,Aristida oligantha Michx.
Aristida purpurascens,Aristida purpurascens Poir.
Aristida purpurea,Aristida purpurea Nutt.
Aristida tuberculosa,Aristida tuberculosa Nutt.
Armeria maritima,Armeria maritima (Mill.) Willd.
Arnica,
Arnica alpina,Arnica angustifolia Vahl
Arnica amplexicaulis,Arnica lanceolata Nutt.
Arnica cordifolia,Arnica cordifolia Hook.
Arnica fulgens,Arnica fulgens Pursh
Arnica griscomii,Arnica griscomii Fernald
Arnica lessingii,Arnica lessingii (Torr. & A.Gray) Greene
Arnica montana,Arnica montana L.
Aromadendron elegans,Magnolia elegans (Blume) H.Keng
Arrhenatherum elatius,Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl
Artemisia arctica,Artemisia arctica (Besser) Leonova
Artemisia borealis,Artemisia borealis (Besser) J.Rousseau
Artemisia ludoviciana,Artemisia ludoviciana Nutt.
Artemisia norvegica,Artemisia norvegica Fr.
Artemisia tridentata,Artemisia tridentata Nutt.
Artemisia tripartita,Artemisia tripartita Rydb.
Artemisia vulgaris,Artemisia vulgaris L.
Artocarpus anisophyllus,Artocarpus anisophyllus Miq.
Artocarpus dadak,
Artocarpus fulvicortex,Artocarpus fulvicortex F.M.Jarrett
Artocarpus gomezianus,Artocarpus gomezianus Wall. ex Trécul
Artocarpus grandifolia,
Artocarpus griffithii,Artocarpus nitidus Trécul
Artocarpus heterophyllus,Artocarpus heterophyllus Lam.
Artocarpus hirsutus,Artocarpus hirsutus Lam.
Artocarpus integer,Artocarpus integer (Thunb.) Merr.
Artocarpus kemando,Artocarpus kemando Miq.
Artocarpus lowii,Artocarpus lowii King
Artocarpus maingayi,Artocarpus kemando Miq.
Artocarpus rigida,
Artocarpus scortechinii,Artocarpus elasticus Reinw. ex Blume
Arytera divaricata,Arytera divaricata F.Muell.
Arytera pauciflora,Arytera pauciflora S.T.Reynolds
Asclepias asperula,Asclepias asperula (Decne.) Woodson
Asclepias brachystephana,Asclepias brachystephana Engelm. ex Torr.
Asclepias lanuginosa,Asclepias lanuginosa Nutt.
Asclepias latifolia,Asclepias latifolia (Torr.) Raf.
Asclepias pumila,Asclepias pumila (A.Gray) Vail
Asclepias stenophylla,Asclepias stenophylla A.Gray
Asclepias sullivantii,Asclepias sullivantii Engelm. ex A.Gray
Asclepias syriaca,Asclepias syriaca L.
Asclepias tuberosa,Asclepias tuberosa L.
Asclepias verticillata,Asclepias verticillata L.
Asclepias viridiflora,Asclepias viridiflora Raf.
Asclepias viridis,Asclepias viridis Walter
Aspalathus abietina,Aspalathus abietina Thunb.
Aspalathus callosa,Aspalathus callosa L.
Aspalathus capensis,Aspalathus capensis (Walp.) R.Dahlgren
Aspalathus carnosa,Aspalathus carnosa Bergius
Aspalathus chenopoda,Aspalathus chenopoda L.
Aspalathus divaricata,Aspalathus divaricata Thunb.
Aspalathus ericifolia,Aspalathus ericifolia L.
Aspalathus hispida,Aspalathus hispida Thunb.
Aspalathus laricifolia,Aspalathus laricifolia P.J.Bergius
Aspalathus linguiloba,Aspalathus linguiloba R.Dahlgren
Aspalathus microphylla,Aspalathus microphylla DC.
Aspalathus retroflexa,Aspalathus retroflexa L.
Aspalathus sericea,Aspalathus sericea P.J.Bergius
Aspalathus serpens,Aspalathus serpens R.Dahlgren
Asparagus capensis,Asparagus capensis L.
Asparagus lignosus,Asparagus lignosus Burm.f.
Asparagus rubicundus,Asparagus rubicundus P.J.Bergius
Aspidosperma,
Aspidosperma cylindrocarpon,Aspidosperma cylindrocarpon Müll.Arg.
Aspidosperma desmanthum,Aspidosperma album (Vahl) Benoist ex Pichon
Aspidosperma discolor,Aspidosperma discolor A.DC.
Aspidosperma macrocarpon,Aspidosperma macrocarpon Mart.
Aspidosperma parvifolium,Aspidosperma parvifolium A.DC.
Aspidosperma polyneuron,Aspidosperma polyneuron Müll.Arg.
Aspidosperma pyrifolium,Aspidosperma pyrifolium Mart.
Aspidosperma spruceanum,Aspidosperma spruceanum Benth. ex Müll.Arg.
Aspidosperma subincanum,Aspidosperma subincanum Mart. ex A.DC.
Aspidosperma tomentosum,Aspidosperma tomentosum Mart.
Aspilia montevidensis,Aspilia montevidensis (Spreng.) Kuntze
Asplenium fascia,
Asplundia,
Aster,
Aster alpinus,Aster alpinus L.
Aster bellidiastrum,Bellidastrum michelii Cass.
Aster ericoides,Symphyotrichum ericoides (L.) G.L.Nesom
Aster fendleri,Symphyotrichum fendleri (A.Gray) G.L.Nesom
Aster oblongifolius,Symphyotrichum oblongifolium (Nutt.) G.L.Nesom
Aster pilosus,Symphyotrichum pilosum (Willd.) G.L.Nesom
Asteraceae,
Astragalus,
Astragalus allochrous,Astragalus allochrous A.Gray
Astragalus alpinus,Astragalus alpinus L.
Astragalus convallarius,Astragalus convallarius Greene
Astragalus crassicarpus,Astragalus crassicarpus Nutt.
Astragalus filipes,Astragalus filipes Torr. ex A.Gray
Astragalus frigidus,Astragalus frigidus (L.) A.Gray
Astragalus lentiginosus,Astragalus lentiginosus Hook.
Astragalus lotiflorus,Astragalus lotiflorus Hook.
Astragalus miser,Astragalus miser Douglas ex Hook.
Astragalus missouriensis,Astragalus missouriensis Nutt.
Astragalus mollissimus,Astragalus mollissimus Torr.
Astragalus nuttalianus,
Astragalus nuttallianus,Astragalus nuttallianus DC.
Astragalus purshii,Astragalus purshii Hook.
Astragalus umbellatus,Astragalus umbellatus Bunge
Astrocaryum,
Astrocaryum standleyanum,Astrocaryum standleyanum L.H.Bailey
Astronium fraxinifolium,Astronium fraxinifolium Schott
Astronium graveolens,Astronium graveolens Jacq.
Atractocarpus fitzalanii,Atractocarpus fitzalanii (F.Muell.) Puttock
Atractocarpus sessilis,Atractocarpus sessilis (F.Muell.) Puttock
Atriplex,
Atriplex argentea,Atriplex argentea Nutt.
Atriplex canescens,Atriplex canescens (Pursh) Nutt.
Atriplex elegans,Atriplex elegans (Moq.) D.Dietr.
Atriplex powellii,Atriplex powellii S.Watson
Attalea butyracea,Attalea butyracea (Mutis ex L.f.) Wess.Boer
Atuna elata,Atuna racemosa Raf.
Atuna excelsa,Atuna racemosa Raf.
Aulomyrcia zetekiana,Myrcia zetekiana (Standl.) B.Holst
Auranticarpa papyracea,Auranticarpa papyracea L.W.Cayzer & al.
Austrobuxus megacarpus,Austrobuxus megacarpus P.I.Forst.
Austrobuxus nitidus,Austrobuxus nitidus Miq.
Austromuellera trinervia,Austromuellera trinervia C.T.White
Austroplenckia populnea,
Austrosteenisia blackii,Austrosteenisia blackii (F.Muell.) R.Geesink
Avenula pubescens,Helictotrichon pubescens (Huds.) Schult.
