parsed,ebird
Gallinago solitaria,Gallinago solitaria
Gallinago,NA
Gallinago stenura,Gallinago stenura
Gallinula chloropus,Gallinula chloropus
Garrodia nereis,Garrodia nereis
Garrulax canorus,Garrulax canorus
Garrulax cineraceus,NA
Garrulax sannio,NA
Garrulus glandarius,Garrulus glandarius
Garrulus lidthi,Garrulus lidthi
Gavia,NA
Gavia arctia,NA
Gavia arctica,Gavia arctica
Gavia immer,Gavia immer
Gavia pacifica,Gavia pacifica
Gavia stellata,Gavia stellata
Gaviiformes,NA
Geococcyx californianus,Geococcyx californianus
Geothlypis philadelphia,Geothlypis philadelphia
Geothlypis trichas,Geothlypis trichas
Geotrygon montana,Geotrygon montana
Glareola maldivarum,Glareola maldivarum
Glaucidium californicum,NA
Glaucidium gnoma,Glaucidium gnoma
Glaucidium passerinum,Glaucidium passerinum
Gorsachius goisagi,Gorsachius goisagi
Gorsachius melanolophus,Gorsachius melanolophus
Grus canadensis,NA
Grus grus,Grus grus
Guiraca caerulea,NA
Gygis alba,Gygis alba
Gygis candida,NA
Gymnorhinus cyanocephalus,Gymnorhinus cyanocephalus
Haematopus,NA
Haematopus bachmani,Haematopus bachmani
Haematopus moquini,Haematopus moquini
Haematopus ostralegus,Haematopus ostralegus
Haemorhous mexicanus,Haemorhous mexicanus
Haemorhous purpureus,Haemorhous purpureus
Halcyon coromanda,Halcyon coromanda
Haliaeetus albicilla,Haliaeetus albicilla
Haliaeetus leucocephalus,Haliaeetus leucocephalus
Haliaeetus pelagicus,Haliaeetus pelagicus
Halobaena caerulea,Halobaena caerulea
Halocyptena microsoma,NA
Helmitheros vermivorum,Helmitheros vermivorum
Helmitheros vermivorus,NA
Hesperiphona vespertina,NA
Heteroscelus brevipes,NA
Heteroscelus incanus,NA
Hierococcyx hyperythrus,Hierococcyx hyperythrus
Himantopus himantopus,Himantopus himantopus
Hippolais icterina,Hippolais icterina
Hirundapus caudacutus,Hirundapus caudacutus
Hirundinidae,NA
Hirundo daurica,NA
Hirundo fulva,NA
Hirundo pyrrhonota,NA
Hirundo rustica,Hirundo rustica
Hirundo tahitica,Hirundo tahitica
Histrionicus histrionicus,Histrionicus histrionicus
Hydrobates pelagicus,Hydrobates pelagicus
Hydrobatidae,NA
Hydrophasianus chirurgus,Hydrophasianus chirurgus
Hylocichla mustelina,Hylocichla mustelina
Hypsipetes amaurotis,Hypsipetes amaurotis
Icteria virens,Icteria virens
Icterus bullockii,Icterus bullockii
Icterus cucullatus,Icterus cucullatus
Icterus galbula,Icterus galbula
Icterus parisorum,Icterus parisorum
Icterus spurius,Icterus spurius
Ictinia mississippiensis,Ictinia mississippiensis
Ixobrychus sinensis,Ixobrychus sinensis
Ixoreus naevius,Ixoreus naevius
Junco hyemalis,Junco hyemalis
Jynx torquilla,Jynx torquilla
Lagopus lagopus,Lagopus lagopus
Lagopus mutus,NA
Laniidae,NA
Lanius bucephalus,Lanius bucephalus
Lanius collurio,Lanius collurio
Lanius excubitor,Lanius excubitor
Lanius ludovicianus,Lanius ludovicianus
Laridae,NA
Larus,NA
Larus argentatus,Larus argentatus
Larus atricilla,NA
Larus audouinii,NA
Larus cachinnans,Larus cachinnans
Larus californicus,Larus californicus
Larus canus,Larus canus
Larus cirrocephalus,NA
Larus crassirostris,Larus crassirostris
Larus delawarensis,Larus delawarensis
Larus dominicanus,Larus dominicanus
Larus fuscus,Larus fuscus
Larus glaucescens,Larus glaucescens
Larus glaucoides,Larus glaucoides
Larus hartlaubii,NA
Larus heermanni,Larus heermanni
Larus hemprichii,NA
Larus hyperboreus,Larus hyperboreus
Larus hyuperboreus,NA
Larus leucopthalmus,NA
Larus marinus,Larus marinus
Larus melanocephalus,NA
Larus michahellis,Larus michahellis
Larus minutus,NA
Larus novaehollandiae,NA
Larus occidentalis,Larus occidentalis
Larus pacificus,Larus pacificus
Larus philadelphia,NA
Larus pipixcan,NA
Larus ridibundus,NA
Larus sabini,NA
Larus saundersi,NA
Larus schistisagus,Larus schistisagus
Larus thayeri,NA
Lavius collurio,NA
Leiothrix lutea,Leiothrix lutea
Leptotila verreauxi,Leptotila verreauxi
Leucosticte arctoa,Leucosticte arctoa
Leucosticte tephrocotis,Leucosticte tephrocotis
Limicola falcinellus,NA
Limnodromus,NA
Limnodromus scolopaceus,Limnodromus scolopaceus
